module,file,size,stroke,stroke-width
icons-export\01-home-capability,1-management.svg,44x44,#8fd0ff,0.8
icons-export\01-home-capability,2-test.svg,44x44,#8fd0ff,0.8
icons-export\01-home-capability,3-inspection.svg,44x44,#8fd0ff,0.8
icons-export\01-home-capability,4-tech.svg,44x44,#8fd0ff,0.8
icons-export\01-home-capability,5-smart.svg,44x44,#8fd0ff,0.8
icons-export\02-home-business,1-phone.svg,20x20,#ffffff,1.8
icons-export\02-home-business,3-location.svg,20x20,#ffffff,1.8
icons-export\02-home-business,4-mail.svg,20x20,#ffffff,1.8
icons-export\02-home-business,2-fax.svg,22x22,#ffffff,3 (source)
icons-export\03-about-capability,1-management.svg,68x68,#165dff,0.8
icons-export\03-about-capability,2-test.svg,68x68,#165dff,0.8
icons-export\03-about-capability,3-inspection.svg,68x68,#165dff,0.8
icons-export\03-about-capability,4-tech.svg,68x68,#165dff,0.8
icons-export\03-about-capability,5-smart.svg,68x68,#165dff,0.8
icons-export\04-hr-join,1-shezhao.svg,42x42,#8fd0ff,1
icons-export\04-hr-join,2-arrow.svg,22x22,#165dff,2
icons-export\04-hr-join,3-xiaozhao.svg,42x42,#8fd0ff,1
icons-export\04-hr-join,4-arrow.svg,22x22,#165dff,2
